dataset,approach,beta,iters,id,rank
wiki_pt,rdd_partitioned,0.85,20,Rio,0.001865215679062341
wiki_pt,rdd_partitioned,0.85,20,Brasil,0.001757148096945811
wiki_pt,rdd_partitioned,0.85,20,Unidos,0.0016342865619986928
wiki_pt,rdd_partitioned,0.85,20,Censo,0.0013301576325252115
wiki_pt,rdd_partitioned,0.85,20,União,0.001230830062370412
wiki_pt,rdd_partitioned,0.85,20,Alemanha,0.0012303546378758898
wiki_pt,rdd_partitioned,0.85,20,Cidade,0.0011989297644993233
wiki_pt,rdd_partitioned,0.85,20,Família,0.0011223172478579532
wiki_pt,rdd_partitioned,0.85,20,América,0.001095236440618445
wiki_pt,rdd_partitioned,0.85,20,São,0.001074205336430477
wiki_pt,rdd_partitioned,0.85,20,Densidade,0.0010528982591262524
wiki_pt,rdd_partitioned,0.85,20,Portugal,0.001044740552244218
wiki_pt,rdd_partitioned,0.85,20,Sul,0.0010320889532987397
wiki_fr,dataframe,0.85,20,Liste,0.003709535176200388
wiki_fr,dataframe,0.85,20,France,0.0016028417798286002
wiki_fr,dataframe,0.85,20,Arrondissement,0.0015951001828039988
wiki_fr,dataframe,0.85,20,Région,0.001500705607473253
wiki_fr,dataframe,0.85,20,La,0.001457962198111224
wiki_fr,dataframe,0.85,20,District,0.001406595758493852
wiki_fr,dataframe,0.85,20,Commune,0.0013817623183524069
wiki_fr,dataframe,0.85,20,Le,0.0013657327905876252
wiki_fr,dataframe,0.85,20,Famille,0.0012286742138447179
wiki_fr,dataframe,0.85,20,États-Unis,0.0011596627257192869
wiki_fr,dataframe,0.85,20,Province,0.0010261276862932448
wiki_fr,dataframe,0.85,20,Canton,9.893199873059482E-4
wiki_fr,dataframe,0.85,20,République,9.808263339902042E-4
wiki_fr,dataframe,0.85,20,Jean,9.613091731623074E-4
wiki_fr,dataframe,0.85,20,Guerre,9.371000658858375E-4
wiki_fr,dataframe,0.85,20,Comté,9.263399648370372E-4
wiki_fr,dataframe,0.85,20,2014,9.042052410606314E-4
wiki_fr,dataframe,0.85,20,Pierre,8.991429224816766E-4
wiki_fr,dataframe,0.85,20,Communauté,8.619308064939796E-4
wiki_fr,dataframe,0.85,20,Les,8.514674734619549E-4
wiki_basque,rdd,0.85,20,Kilometro,0.00654963152653767
wiki_basque,rdd,0.85,20,Frantzia,0.005511430535128015
wiki_basque,rdd,0.85,20,2009,0.004388934557036295
wiki_basque,rdd,0.85,20,Animalia,0.0036318615413584677
wiki_basque,rdd,0.85,20,Alemania,0.0034550243035905816
wiki_basque,rdd,0.85,20,2013,0.003399291355162346
wiki_basque,rdd,0.85,20,Estatu,0.0032478195118316243
wiki_basque,rdd,0.85,20,INSEE,0.0030441088728662747
wiki_basque,rdd,0.85,20,Biztanleria-piramide,0.0029816843261360458
wiki_basque,rdd,0.85,20,Ameriketako,0.0028935192016583374
wiki_basque,rdd,0.85,20,Mediana,0.002617992637596941
wiki_basque,rdd,0.85,20,Italia,0.0023179109689553724
wiki_basque,rdd,0.85,20,Urtarrilaren,0.0020368237936526064
wiki_basque,rdd,0.85,20,1,0.0019937501668015173
wiki_basque,rdd,0.85,20,Euskal,0.001825965003530603
wiki_basque,rdd,0.85,20,Euskara,0.0017415388615772333
wiki_basque,rdd,0.85,20,Arrain,0.00172806916747707
wiki_basque,rdd,0.85,20,Italiako,0.001525091619499951
wiki_basque,rdd,0.85,20,Ipar,0.001523683086903502
wiki_basque,rdd,0.85,20,Errepublika,0.0014614776915015792
wiki_fr,rdd,0.85,20,Liste,0.003708741567928618
wiki_fr,rdd,0.85,20,France,0.0016024988688509991
wiki_fr,rdd,0.85,20,Arrondissement,0.0015947589286242252
wiki_fr,rdd,0.85,20,Région,0.0015003845479397845
wiki_fr,rdd,0.85,20,La,0.0014576502821000675
wiki_fr,rdd,0.85,20,District,0.0014062948335268643
wiki_fr,rdd,0.85,20,Commune,0.001381466705353662
wiki_fr,rdd,0.85,20,Le,0.0013654406063446929
